#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
89,00007ffc c55eb980,"      SHF.R.U32.HI R9, RZ, 0x1, R9",0,24,16,Integer,458752,32,,,,,,,,,
90,00007ffc c55eb990,"      IADD3 R28, P0, P1, R14, R12, R9",0,25,74,Integer,458752,32,,,,,,,,,
91,00007ffc c55eb9a0,"      IADD3.X R29, PT, PT, R6, R13, RZ, P0, P1",0,26,53,Integer,458752,32,,,,,,,,,
92,00007ffc c55eb9b0,"      LDG.E.U8.CONSTANT R28, desc[UR12][R28.64]",0,26,15,Load/Store,458752,32,Global,Load,8,,3211264,,,,
93,00007ffc c55eb9c0,"      SHF.R.U32.HI R27, RZ, 0x4, R28",0,26,146,Integer,458752,32,,,,,,,,,
94,00007ffc c55eb9d0,"      IADD3 R28, P0, P1, R20, R10, R9",0,26,11,Integer,458752,32,,,,,,,,,
95,00007ffc c55eb9e0,"      F2FP.F16.E2M1.UNPACK_B R9, R27",0,26,9,Other,458752,32,,,,,,,,,
96,00007ffc c55eb9f0,"      IADD3.X R29, PT, PT, R26, R11, RZ, P0, P1",0,26,9,Integer,458752,32,,,,,,,,,
97,00007ffc c55eba00,"      LDG.E.U8.CONSTANT R27, desc[UR12][R28.64]",0,27,23,Load/Store,458752,32,Global,Load,8,,3211264,,,,
98,00007ffc c55eba10,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,25,2,Floating Point,458752,32,,,,,,,,,
99,00007ffc c55eba20,"      FMUL.FTZ R9, R2, R9",0,25,24,Floating Point,458752,32,,,,,,,,,
100,00007ffc c55eba30,"      SHF.R.U32.HI R27, RZ, 0x4, R27",0,25,146,Integer,458752,32,,,,,,,,,
101,00007ffc c55eba40,"      F2FP.F16.E2M1.UNPACK_B R27, R27",0,25,49,Other,458752,32,,,,,,,,,
102,00007ffc c55eba50,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,25,33,Floating Point,458752,32,,,,,,,,,
103,00007ffc c55eba60,"      FMUL.FTZ R27, R0, R27",0,25,19,Floating Point,458752,32,,,,,,,,,
104,00007ffc c55eba70,"      FFMA.FTZ R7, R9, R27, R7",0,25,18,Floating Point,458752,32,,,,,,,,,
105,00007ffc c55eba80,"      VIADD R9, R3, 0x2",0,24,7,Integer,458752,32,,,,,,,,,
106,00007ffc c55eba90,"      ISETP.GE.AND P0, PT, R9, R4, PT",0,24,81,Integer,458752,32,,,,,,,,,
107,00007ffc c55ebaa0,@P0   BRA 0x7ffcc55ec9d0,0,23,72,Control,458752,,,,,,,,,,
108,00007ffc c55ebab0,"      LDG.E.U8.CONSTANT R24, desc[UR12][R24.64+0x1]",0,23,24,Load/Store,458752,32,Global,Load,8,,3211264,,,,
109,00007ffc c55ebac0,"      LDG.E.U8.CONSTANT R22, desc[UR12][R22.64+0x1]",0,22,19,Load/Store,458752,32,Global,Load,8,,3211264,,,,
110,00007ffc c55ebad0,"      VIADD R29, R3, 0x3",0,22,2,Integer,458752,32,,,,,,,,,
111,00007ffc c55ebae0,"      ISETP.GE.AND P0, PT, R29, R4, PT",0,22,69,Integer,458752,32,,,,,,,,,
112,00007ffc c55ebaf0,"      LOP3.LUT R9, R24, 0xf, RZ, 0xc0, !PT",0,23,110,Integer,458752,32,,,,,,,,,
113,00007ffc c55ebb00,"      LOP3.LUT R27, R22, 0xf, RZ, 0xc0, !PT",0,23,24,Integer,458752,32,,,,,,,,,
114,00007ffc c55ebb10,"      F2FP.F16.E2M1.UNPACK_B R9, R9",0,22,4,Other,458752,32,,,,,,,,,
115,00007ffc c55ebb20,"      F2FP.F16.E2M1.UNPACK_B R27, R27",0,22,10,Other,458752,32,,,,,,,,,
116,00007ffc c55ebb30,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,22,17,Floating Point,458752,32,,,,,,,,,
117,00007ffc c55ebb40,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,22,7,Floating Point,458752,32,,,,,,,,,
118,00007ffc c55ebb50,"      FMUL.FTZ R28, R2, R9",0,23,17,Floating Point,458752,32,,,,,,,,,
119,00007ffc c55ebb60,"      FMUL.FTZ R27, R0, R27",0,22,10,Floating Point,458752,32,,,,,,,,,
120,00007ffc c55ebb70,"      FFMA.FTZ R7, R28, R27, R7",0,22,22,Floating Point,458752,32,,,,,,,,,
121,00007ffc c55ebb80,@P0   BRA 0x7ffcc55ec9d0,0,20,3,Control,458752,,,,,,,,,,
122,00007ffc c55ebb90,"      SHF.R.U32.HI R23, RZ, 0x1, R29",0,21,42,Integer,458752,32,,,,,,,,,
123,00007ffc c55ebba0,"      IADD3 R24, P0, P1, R14, R12, R23",0,21,57,Integer,458752,32,,,,,,,,,
124,00007ffc c55ebbb0,"      IADD3 R22, P2, P3, R20, R10, R23",0,22,7,Integer,458752,32,,,,,,,,,
125,00007ffc c55ebbc0,"      IADD3.X R25, PT, PT, R6, R13, RZ, P0, P1",0,22,10,Integer,458752,32,,,,,,,,,
126,00007ffc c55ebbd0,"      IADD3.X R23, PT, PT, R26, R11, RZ, P2, P3",0,23,10,Integer,458752,32,,,,,,,,,
127,00007ffc c55ebbe0,"      LDG.E.U8.CONSTANT R24, desc[UR12][R24.64]",0,23,14,Load/Store,458752,32,Global,Load,8,,3211264,,,,
128,00007ffc c55ebbf0,"      LDG.E.U8.CONSTANT R22, desc[UR12][R22.64]",0,22,16,Load/Store,458752,32,Global,Load,8,,3211264,,,,
129,00007ffc c55ebc00,"      VIADD R29, R3, 0x4",0,22,6,Integer,458752,32,,,,,,,,,
130,00007ffc c55ebc10,"      ISETP.GE.AND P0, PT, R29, R4, PT",0,22,68,Integer,458752,32,,,,,,,,,
131,00007ffc c55ebc20,"      SHF.R.U32.HI R9, RZ, 0x4, R24",0,23,83,Integer,458752,32,,,,,,,,,
132,00007ffc c55ebc30,"      SHF.R.U32.HI R27, RZ, 0x4, R22",0,23,21,Integer,458752,32,,,,,,,,,
133,00007ffc c55ebc40,"      F2FP.F16.E2M1.UNPACK_B R9, R9",0,22,13,Other,458752,32,,,,,,,,,
134,00007ffc c55ebc50,"      F2FP.F16.E2M1.UNPACK_B R27, R27",0,22,8,Other,458752,32,,,,,,,,,
135,00007ffc c55ebc60,"      HADD2.F32 R9, -RZ, R9.H0_H0",0,22,11,Floating Point,458752,32,,,,,,,,,
136,00007ffc c55ebc70,"      HADD2.F32 R27, -RZ, R27.H0_H0",0,22,10,Floating Point,458752,32,,,,,,,,,
137,00007ffc c55ebc80,"      FMUL.FTZ R28, R2, R9",0,23,17,Floating Point,458752,32,,,,,,,,,
138,00007ffc c55ebc90,"      FMUL.FTZ R27, R0, R27",0,22,7,Floating Point,458752,32,,,,,,,,,
139,00007ffc c55ebca0,"      FFMA.FTZ R7, R28, R27, R7",0,22,31,Floating Point,458752,32,,,,,,,,,
140,00007ffc c55ebcb0,@P0   BRA 0x7ffcc55ec9d0,0,20,3,Control,458752,,,,,,,,,,
141,00007ffc c55ebcc0,"      SHF.R.U32.HI R23, RZ, 0x1, R29",0,21,47,Integer,458752,32,,,,,,,,,
