derived__avg_thread_executed [thread],"12,557 {415}"
derived__avg_thread_executed_true [thread],"11,493 {415}"
derived__avg_thread_unexecuted_true [thread],"1,787 {415}"
derived__derivative_avg_thread_executed_true [thread],"1,383 {414}"
derived__l1tex__lsu_writeback_bytes_mem_lgds.sum.peak_sustained,"18,944"
derived__l1tex__lsu_writeback_bytes_mem_lgds.sum.per_second,"6,729,252,237,679.28"
derived__local_spilling_requests,0
derived__local_spilling_requests_pct [%],0
derived__lts__lts2xbar_bytes.sum.peak_sustained [Kbytes],11.50
derived__lts__lts2xbar_bytes.sum.per_second [Gbytes],429.52
derived__memory_l1_conflicts_shared_nway,17 {17}
derived__memory_l1_wavefronts_shared_excessive,0 {17}
derived__memory_l2_theoretical_sectors_global_excessive [Mbyte],102.76 {35}
derived__pct_occupancy_per_barrier_count,408 {65}
derived__pct_occupancy_per_block_size [%],"5,706 {65}"
derived__pct_occupancy_per_register_count [%/register],"6,962 {257}"
derived__pct_occupancy_per_shared_mem_size [%/Kbyte],1.11 {456}
derived__sm__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],"18,944"
derived__sm__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],"37,888"
derived__sm__sass_thread_inst_executed_op_hfma_pred_on_x4 [inst],"37,888"
derived__smsp__inst_executed_op_branch_pct [%],0.06
derived__smsp__sass_thread_inst_executed_op_dfma_pred_on_x2 [inst],0
derived__smsp__sass_thread_inst_executed_op_ffma_pred_on_x2 [inst],"1,411.21"
derived__smsp__sass_thread_inst_executed_op_hadd_pred_on_x2 [inst],"2,998.82"
derived__smsp__sass_thread_inst_executed_op_hfma_pred_on_x4 [inst],0
derived__smsp__sass_thread_inst_executed_op_hmul_pred_on_x2 [inst],0
derived_tempMetric0,"7,962,624"
derived_tempMetric1,"143,622,144"
derived_tempMetric2,0
derived_tempMetric3,0
derived_tempMetric4,nan
derived_tempMetric5,0
device__attribute_architecture,416
device__attribute_async_engine_count,4
device__attribute_can_flush_remote_writes,0
device__attribute_can_map_host_memory,1
device__attribute_can_tex2d_gather,1
device__attribute_can_use_64_bit_stream_mem_ops,1
device__attribute_can_use_64_bit_stream_mem_ops_v1,0
device__attribute_can_use_host_pointer_for_registered_mem,1
device__attribute_can_use_stream_mem_ops_v1,0
device__attribute_can_use_stream_wait_value_nor,1
device__attribute_can_use_stream_wait_value_nor_v1,0
device__attribute_chip,416
device__attribute_clock_rate,"1,965,000"
device__attribute_cluster_launch,1
device__attribute_compute_capability_major,10
device__attribute_compute_capability_minor,0
device__attribute_compute_mode,0
device__attribute_compute_preemption_supported,1
device__attribute_concurrent_kernels,1
device__attribute_concurrent_managed_access,1
device__attribute_confidential_computing_mode,No-CC
device__attribute_cooperative_launch,1
device__attribute_cooperative_multi_device_launch,1
device__attribute_deferred_mapping_cuda_array_supported,1
device__attribute_device_index,0
device__attribute_direct_managed_mem_access_from_host,0
device__attribute_display_name,NVIDIA B200
device__attribute_dma_buf_supported,1
device__attribute_ecc_enabled,1
device__attribute_fb_bus_width,"7,680"
device__attribute_fbp_count,16
device__attribute_generic_compression_supported,1
device__attribute_global_l1_cache_supported,1
device__attribute_global_memory_bus_width,"7,680"
device__attribute_gpu_direct_rdma_flush_writes_options,1
device__attribute_gpu_direct_rdma_supported,1
device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,1
device__attribute_gpu_direct_rdma_writes_ordering,100
device__attribute_gpu_overlap,1
device__attribute_gpu_pci_device_id,"687,935,710"
device__attribute_gpu_pci_ext_device_id,"10,497"
device__attribute_gpu_pci_ext_downstream_link_rate,"32,000"
