#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
52,00007ffc 5992d830,"      UISETP.NE.AND.EX UP0, UPT, UR19, URZ, UPT, UP0",0,53,,Uniform Datapath,896,32,,,,,,,,,
53,00007ffc 5992d840,"      CS2R.32 R8, SR_CgaSize",0,54,,Miscellaneous,896,32,,,,,,,,,
54,00007ffc 5992d850,"      IMAD R8, R8, -0xa0, RZ",0,54,,Integer,896,32,,,,,,,,,
55,00007ffc 5992d860,"      R2UR UR7, R8",0,54,,Uniform Datapath,896,32,,,,,,,,,
56,00007ffc 5992d870,"      LDCU UR7, c[0x0][UR7+0x2a0]",0,53,1,Uniform Datapath,896,32,,,,,,,,,
57,00007ffc 5992d880,"      CS2R.32 R8, SR_CgaSize",0,54,,Miscellaneous,896,32,,,,,,,,,
58,00007ffc 5992d890,"      IMAD R8, R8, -0xa0, RZ",0,54,,Integer,896,32,,,,,,,,,
59,00007ffc 5992d8a0,"      R2UR UR4, R8",0,54,1,Uniform Datapath,896,32,,,,,,,,,
60,00007ffc 5992d8b0,"      LDCU UR4, c[0x0][UR4+0x2a4]",0,53,1,Uniform Datapath,896,32,,,,,,,,,
61,00007ffc 5992d8c0,"      ULOP3.LUT UR25, UR20, 0x1, URZ, 0xc0, !UPT",0,53,,Uniform Datapath,896,32,,,,,,,,,
62,00007ffc 5992d8d0,"      ULOP3.LUT UR24, UR20, 0x1, URZ, 0x3c, !UPT",0,53,,Uniform Datapath,896,32,,,,,,,,,
63,00007ffc 5992d8e0,"      SHF.R.U32.HI R8, RZ, 0x5, R48",0,54,,Integer,896,32,,,,,,,,,
64,00007ffc 5992d8f0,"      SHFL.IDX PT, R0, R8, RZ, 0x1f",0,55,,Movement,896,32,,,,,,,,,
65,00007ffc 5992d900,"      R2UR UR21, R0",0,55,,Uniform Datapath,896,32,,,,,,,,,
66,00007ffc 5992d910,"      BRA.U UP0, 0x7ffc5992d990",0,54,,Control,896,32,,,,,,,,,
67,00007ffc 5992d920,"      UISETP.NE.U32.AND UP0, UPT, UR16, URZ, UPT",0,53,,Uniform Datapath,896,32,,,,,,,,,
68,00007ffc 5992d930,"      UISETP.NE.AND.EX UP0, UPT, UR17, URZ, UPT, UP0",0,53,,Uniform Datapath,896,32,,,,,,,,,
69,00007ffc 5992d940,"      BRA.U !UP0, 0x7ffc5992d980",0,53,,Control,896,32,,,,,,,,,
70,00007ffc 5992d950,"      LDC.64 R2, c[0x0][0x1368]",0,55,,Load/Store,,,,,,,,,,,
71,00007ffc 5992d960,"      LDG.E R41, desc[UR32][R2.64]",0,56,,Load/Store,,,,,,,,,,,
72,00007ffc 5992d970,      BRA 0x7ffc5992d990,0,54,,Control,,,,,,,,,,,
73,00007ffc 5992d980,"      LDC R41, c[0x0][0x1360]",0,54,,Load/Store,896,32,,,,,,,,,
74,00007ffc 5992d990,"      IMAD.U32 R0, RZ, RZ, UR21",0,55,,Integer,896,32,,,,,,,,,
75,00007ffc 5992d9a0,"      UISETP.NE.AND UP0, UPT, UR4, UR11, UPT",0,55,,Uniform Datapath,896,32,,,,,,,,,
76,00007ffc 5992d9b0,"      BSSY.RECONVERGENT B0, 0x7ffc5992db80",0,55,,Control,896,32,,,,,,,,,
77,00007ffc 5992d9c0,"      UMOV UR70, 0xc80",0,55,,Uniform Datapath,896,32,,,,,,,,,
78,00007ffc 5992d9d0,"      UMOV UR66, 0xe00",0,55,,Uniform Datapath,896,32,,,,,,,,,
79,00007ffc 5992d9e0,"      ISETP.NE.OR P1, PT, R0, 0x1, !P6",0,55,,Integer,896,32,,,,,,,,,
80,00007ffc 5992d9f0,"      UISETP.EQ.AND UP0, UPT, UR7, UR10, !UP0",0,55,,Uniform Datapath,896,32,,,,,,,,,
81,00007ffc 5992da00,"      ISETP.NE.OR P0, PT, R0, 0x3, !P6",0,55,,Integer,896,32,,,,,,,,,
82,00007ffc 5992da10,"      UMOV UR68, 0xd40",0,54,,Uniform Datapath,896,32,,,,,,,,,
83,00007ffc 5992da20,"      UMOV UR56, 0xec0",0,54,,Uniform Datapath,896,32,,,,,,,,,
84,00007ffc 5992da30,"      USEL UR70, UR70, 0x980, UP0",0,54,,Uniform Datapath,896,32,,,,,,,,,
85,00007ffc 5992da40,"      USEL UR66, UR66, 0xb00, UP0",0,54,,Uniform Datapath,896,32,,,,,,,,,
86,00007ffc 5992da50,"      USEL UR68, UR68, 0xa40, UP0",0,54,,Uniform Datapath,896,32,,,,,,,,,
87,00007ffc 5992da60,"      USEL UR56, UR56, 0xbc0, UP0",0,54,,Uniform Datapath,896,32,,,,,,,,,
88,00007ffc 5992da70,@P1   BRA 0x7ffc5992db70,0,54,,Control,896,31,,,,,,,,,
89,00007ffc 5992da80,"      LDCU.64 UR14, c[0x0][0x348]",0,54,,Uniform Datapath,112,1,,,,,,,,,
90,00007ffc 5992da90,"      UMOV UR10, UR70",0,54,,Uniform Datapath,112,1,,,,,,,,,
91,00007ffc 5992daa0,"      UMOV UR11, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
92,00007ffc 5992dab0,"      UIADD3.64 UR22, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
93,00007ffc 5992dac0,"      UMOV UR10, UR68",0,54,,Uniform Datapath,112,1,,,,,,,,,
94,00007ffc 5992dad0,"      UIADD3.64 UR18, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
95,00007ffc 5992dae0,"      UMOV UR10, UR66",0,54,,Uniform Datapath,112,1,,,,,,,,,
96,00007ffc 5992daf0,      UTMACCTL.PF [UR22],0,54,,Tensor Memory Access,112,1,,,,,,,,,
97,00007ffc 5992db00,"      UIADD3.64 UR16, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
98,00007ffc 5992db10,      UTMACCTL.PF [UR18],0,54,,Tensor Memory Access,112,1,,,,,,,,,
99,00007ffc 5992db20,"      UMOV UR10, UR56",0,54,,Uniform Datapath,112,1,,,,,,,,,
100,00007ffc 5992db30,"      UIADD3.64 UR14, UPT, UPT, UR14, UR10, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
101,00007ffc 5992db40,      UTMACCTL.PF [UR16],0,54,,Tensor Memory Access,112,1,,,,,,,,,
102,00007ffc 5992db50,      UTMACCTL.PF [UR14],0,54,,Tensor Memory Access,112,1,,,,,,,,,
103,00007ffc 5992db60,      NOP,0,54,,Miscellaneous,112,1,,,,,,,,,
104,00007ffc 5992db70,      BSYNC.RECONVERGENT B0,0,54,1,Control,1008,28,,,,,,,,,
105,00007ffc 5992db80,"      BSSY.RECONVERGENT B0, 0x7ffc5992dc30",0,54,,Control,896,32,,,,,,,,,
106,00007ffc 5992db90,@P0   BRA 0x7ffc5992dc20,0,54,,Control,896,31,,,,,,,,,
107,00007ffc 5992dba0,"      LDCU.64 UR10, c[0x0][0x348]",0,54,1,Uniform Datapath,112,1,,,,,,,,,
108,00007ffc 5992dbb0,"      UIADD3 UR14, UP1, UPT, UR10, 0x1040, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
109,00007ffc 5992dbc0,"      UIADD3 UR10, UP0, UPT, UR10, 0x1100, URZ",0,54,,Uniform Datapath,112,1,,,,,,,,,
110,00007ffc 5992dbd0,"      UIADD3.X UR15, UPT, UPT, URZ, UR11, URZ, UP1, !UPT",0,54,,Uniform Datapath,112,1,,,,,,,,,
111,00007ffc 5992dbe0,"      UIADD3.X UR11, UPT, UPT, URZ, UR11, URZ, UP0, !UPT",0,54,,Uniform Datapath,112,1,,,,,,,,,
112,00007ffc 5992dbf0,      UTMACCTL.PF [UR14],0,54,,Tensor Memory Access,112,1,,,,,,,,,
113,00007ffc 5992dc00,      UTMACCTL.PF [UR10],0,54,,Tensor Memory Access,112,1,,,,,,,,,
114,00007ffc 5992dc10,      NOP,0,54,,Miscellaneous,112,1,,,,,,,,,
115,00007ffc 5992dc20,      BSYNC.RECONVERGENT B0,0,54,,Control,1008,28,,,,,,,,,
116,00007ffc 5992dc30,"      SHFL.IDX PT, R8, R8, RZ, 0x1f",0,54,,Movement,896,32,,,,,,,,,
117,00007ffc 5992dc40,"      CS2R.32 R6, SR_CgaSize",0,55,,Miscellaneous,896,32,,,,,,,,,
118,00007ffc 5992dc50,"      IMAD R6, R6, -0xa0, RZ",0,55,,Integer,896,32,,,,,,,,,
119,00007ffc 5992dc60,"      LDC R6, c[0x0][R6+0x2a0]",0,55,,Load/Store,896,32,,,,,,,,,
120,00007ffc 5992dc70,"      LOP3.LUT R10, R48, 0x1f, RZ, 0xc0, !PT",0,56,,Integer,896,32,,,,,,,,,
121,00007ffc 5992dc80,"      UMOV UR43, 0x400",0,56,,Uniform Datapath,896,32,,,,,,,,,
122,00007ffc 5992dc90,"      LOP3.LUT P1, RZ, R48, 0x1c, RZ, 0xc0, !PT",0,56,,Integer,896,32,,,,,,,,,
123,00007ffc 5992dca0,"      UIMAD UR17, UR7, UR4, URZ",0,56,,Uniform Datapath,896,32,,,,,,,,,
124,00007ffc 5992dcb0,"      ISETP.GT.U32.AND P0, PT, R10, 0x6, PT",0,56,,Integer,896,32,,,,,,,,,
125,00007ffc 5992dcc0,"      IMAD.SHL.U32 R2, R48, 0x8, RZ",0,57,,Integer,896,32,,,,,,,,,
126,00007ffc 5992dcd0,"      ISETP.GT.U32.AND P3, PT, R10, 0x1, PT",0,57,,Integer,896,32,,,,,,,,,
127,00007ffc 5992dce0,"      IMAD.MOV.U32 R12, RZ, RZ, 0x1",0,58,,Integer,896,32,,,,,,,,,
128,00007ffc 5992dcf0,"      LOP3.LUT P2, RZ, R48, 0x1e, RZ, 0xc0, !PT",0,58,,Integer,896,32,,,,,,,,,
129,00007ffc 5992dd00,"      ULEA UR43, UR20, UR43, 0x18",0,58,,Uniform Datapath,896,32,,,,,,,,,
130,00007ffc 5992dd10,"      IMAD.MOV.U32 R0, RZ, RZ, 0xc0",0,59,,Integer,896,32,,,,,,,,,
131,00007ffc 5992dd20,"      LOP3.LUT R7, R2, 0xf8, RZ, 0xc0, !PT",0,60,,Integer,896,32,,,,,,,,,
132,00007ffc 5992dd30,"      IMAD.U32 R3, RZ, RZ, UR17",0,61,,Integer,896,32,,,,,,,,,
133,00007ffc 5992dd40,"      UISETP.NE.AND UP0, UPT, UR21, 0x2, UPT",0,61,,Uniform Datapath,896,32,,,,,,,,,
134,00007ffc 5992dd50,"      UISETP.EQ.AND UP0, UPT, UR25, URZ, !UP0",0,61,,Uniform Datapath,896,32,,,,,,,,,
135,00007ffc 5992dd60,"      ISETP.NE.OR P0, PT, R8, RZ, P0",0,61,,Integer,896,32,,,,,,,,,
136,00007ffc 5992dd70,"      ISETP.NE.OR P5, PT, R8, 0x4, P3",0,61,,Integer,896,32,,,,,,,,,
137,00007ffc 5992dd80,"      ISETP.NE.OR P1, PT, R8, 0x1, P1",0,61,,Integer,896,32,,,,,,,,,
138,00007ffc 5992dd90,"      ISETP.NE.OR P2, PT, R8, 0x3, P2",0,61,,Integer,896,32,,,,,,,,,
139,00007ffc 5992dda0,"      ISETP.NE.OR P4, PT, R8, 0x5, P3",0,61,,Integer,896,32,,,,,,,,,
140,00007ffc 5992ddb0,"      ISETP.NE.OR P3, PT, R8, 0x3, P3",0,61,,Integer,896,32,,,,,,,,,
141,00007ffc 5992ddc0,"@!P0  LEA.HI R6, R6, UR7, RZ, 0x1",0,61,10,Integer,896,,,,,,,,,,
142,00007ffc 5992ddd0,"@!P0  IADD3 R12, PT, PT, -R12, 0x100000, RZ",0,61,,Integer,896,,,,,,,,,,
143,00007ffc 5992dde0,"@!P0  SHF.L.U32 R13, R12, 0xb, RZ",0,61,,Integer,896,,,,,,,,,,
144,00007ffc 5992ddf0,"@!P0  SHF.L.U32 R12, R12, 0x1, RZ",0,61,,Integer,896,,,,,,,,,,
145,00007ffc 5992de00,"@!P5  IMAD R0, R3, R0, 0x20",0,61,,Integer,896,,,,,,,,,,
146,00007ffc 5992de10,"@!P0  LEA.HI.SX32 R6, R6, UR4, 0x1f",0,60,,Integer,896,,,,,,,,,,
147,00007ffc 5992de20,"      IMAD.MOV.U32 R3, RZ, RZ, 0x80",0,61,,Integer,896,32,,,,,,,,,
148,00007ffc 5992de30,"@!P0  STS.64 [R7+UR43], R12",0,61,,Load/Store,896,,Shared,Store,64,,,,,,
149,00007ffc 5992de40,"@!P0  VIADD R6, R6, 0xffffffff",0,61,1,Integer,896,,,,,,,,,,
150,00007ffc 5992de50,"@!P1  IADD3 R14, PT, PT, -R3, 0x100000, RZ",0,61,,Integer,896,,,,,,,,,,
151,00007ffc 5992de60,"@!P1  SHF.L.U32 R15, R14, 0xb, RZ",0,60,,Integer,896,,,,,,,,,,
152,00007ffc 5992de70,"@!P1  SHF.L.U32 R14, R14, 0x1, RZ",0,60,,Integer,896,,,,,,,,,,
153,00007ffc 5992de80,"      IMAD.MOV.U32 R3, RZ, RZ, 0x1",0,61,,Integer,896,32,,,,,,,,,
154,00007ffc 5992de90,"@!P0  IADD3 R8, PT, PT, -R6, 0x100000, RZ",0,61,,Integer,896,,,,,,,,,,
155,00007ffc 5992dea0,"@!P0  SHF.L.U32 R9, R8, 0xb, RZ",0,60,,Integer,896,,,,,,,,,,
156,00007ffc 5992deb0,"@!P0  SHF.L.U32 R8, R8, 0x1, RZ",0,60,,Integer,896,,,,,,,,,,
157,00007ffc 5992dec0,"      IMAD.MOV.U32 R6, RZ, RZ, 0x20",0,61,,Integer,896,32,,,,,,,,,
158,00007ffc 5992ded0,"@!P0  STS.64 [R7+UR43+0x38], R8",0,61,,Load/Store,896,,Shared,Store,64,,,,,,
159,00007ffc 5992dee0,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,896,32,,,,,,,,,
160,00007ffc 5992def0,      SYNCS.CCTL.IVALL,0,60,,Load/Store,896,32,,,,,,,,,
161,00007ffc 5992df00,      NOP,0,60,2,Miscellaneous,896,32,,,,,,,,,
162,00007ffc 5992df10,"      ISETP.NE.OR P0, PT, RZ, UR21, !P6",0,60,,Integer,896,32,,,,,,,,,
163,00007ffc 5992df20,"      PLOP3.LUT P6, PT, P6, PT, UP0, 0x80, 0x8",0,60,,Predicate,896,32,,,,,,,,,
164,00007ffc 5992df30,"      UISETP.GE.AND UP0, UPT, UR17, 0x2, UPT",0,60,,Uniform Datapath,896,32,,,,,,,,,
165,00007ffc 5992df40,"@!P1  IADD3 R12, PT, PT, -R6, 0x100000, RZ",0,60,1,Integer,896,,,,,,,,,,
166,00007ffc 5992df50,"@!P1  SHF.L.U32 R13, R12, 0xb, RZ",0,59,3,Integer,896,,,,,,,,,,
167,00007ffc 5992df60,"@!P1  SHF.L.U32 R12, R12, 0x1, RZ",0,59,,Integer,896,,,,,,,,,,
168,00007ffc 5992df70,"      IMAD.MOV.U32 R6, RZ, RZ, 0x100",0,60,,Integer,896,32,,,,,,,,,
169,00007ffc 5992df80,"@!P1  STS.64 [R7+UR43+0x70], R12",0,60,,Load/Store,896,,Shared,Store,64,,,,,,
170,00007ffc 5992df90,"@!P1  STS.64 [R7+UR43+0x90], R14",0,60,,Load/Store,896,,Shared,Store,64,,,,,,
171,00007ffc 5992dfa0,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,896,32,,,,,,,,,
172,00007ffc 5992dfb0,      SYNCS.CCTL.IVALL,0,60,,Load/Store,896,32,,,,,,,,,
173,00007ffc 5992dfc0,      NOP,0,60,1,Miscellaneous,896,32,,,,,,,,,
174,00007ffc 5992dfd0,"      IMAD.MOV.U32 R8, RZ, RZ, 0x20",0,61,,Integer,896,32,,,,,,,,,
175,00007ffc 5992dfe0,"@!P2  IADD3 R8, PT, PT, -R8, 0x100000, RZ",0,61,,Integer,896,,,,,,,,,,
176,00007ffc 5992dff0,"@!P2  SHF.L.U32 R9, R8, 0xb, RZ",0,61,1,Integer,896,,,,,,,,,,
177,00007ffc 5992e000,"@!P2  SHF.L.U32 R8, R8, 0x1, RZ",0,61,,Integer,896,,,,,,,,,,
178,00007ffc 5992e010,"@!P2  STS.64 [R7+UR43+0xb0], R8",0,61,,Load/Store,896,,Shared,Store,64,,,,,,
179,00007ffc 5992e020,      FENCE.VIEW.ASYNC.S,0,60,,Load/Store,896,32,,,,,,,,,
180,00007ffc 5992e030,      SYNCS.CCTL.IVALL,0,60,,Load/Store,896,32,,,,,,,,,
181,00007ffc 5992e040,      NOP,0,60,1,Miscellaneous,896,32,,,,,,,,,
182,00007ffc 5992e050,"@!P5  IADD3 R12, PT, PT, -R3, 0x100000, RZ",0,60,,Integer,896,,,,,,,,,,
183,00007ffc 5992e060,"@!P5  SHF.L.U32 R13, R12, 0xb, RZ",0,59,,Integer,896,,,,,,,,,,
184,00007ffc 5992e070,"@!P5  SHF.L.U32 R12, R12, 0x1, RZ",0,59,,Integer,896,,,,,,,,,,
185,00007ffc 5992e080,"      IMAD.MOV.U32 R3, RZ, RZ, 0x20",0,60,,Integer,896,32,,,,,,,,,
186,00007ffc 5992e090,"@!P5  IADD3 R14, PT, PT, -R0, 0x100000, RZ",0,60,,Integer,896,,,,,,,,,,
187,00007ffc 5992e0a0,"@!P5  SHF.L.U32 R15, R14, 0xb, RZ",0,59,,Integer,896,,,,,,,,,,
188,00007ffc 5992e0b0,"@!P5  SHF.L.U32 R14, R14, 0x1, RZ",0,59,,Integer,896,,,,,,,,,,
189,00007ffc 5992e0c0,"@!P5  STS.64 [R7+UR43+0xc0], R12",0,59,,Load/Store,896,,Shared,Store,64,,,,,,
190,00007ffc 5992e0d0,"      IMAD.MOV.U32 R0, RZ, RZ, 0x20",0,60,,Integer,896,32,,,,,,,,,
