#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,gemv_nvfp4_kernel
65,00007ffc 155eb800,"      IMAD.IADD R9, R25, 0x1, R9",0,15,,Integer,32768,32,,,,,,,,
66,00007ffc 155eb810,"      IADD3 R6, PT, PT, R21, R11, RZ",0,15,2,Integer,32768,32,,,,,,,,
67,00007ffc 155eb820,"      MOV R17, RZ",0,14,3,Movement,32768,32,,,,,,,,
68,00007ffc 155eb830,"      MOV R12, R2",0,15,,Movement,32768,32,,,,,,,,
69,00007ffc 155eb840,@!P1  BRA 0x7ffc155ebd40,0,15,3,Control,32768,,,,,,,,,
70,00007ffc 155eb850,"      LDCU.128 UR12, c[0x0][0x390]",0,13,1,Uniform Datapath,32768,32,,,,,,,,
71,00007ffc 155eb860,"      LEA.HI R10, R4, 0x1, RZ, 0x1b",0,14,,Integer,32768,32,,,,,,,,
72,00007ffc 155eb870,"      SHF.L.U32 R13, R2, 0x3, RZ",0,14,1,Integer,32768,32,,,,,,,,
73,00007ffc 155eb880,"      LOP3.LUT R10, R10, 0x3, RZ, 0xc0, !PT",0,14,,Integer,32768,32,,,,,,,,
74,00007ffc 155eb890,"      MOV R17, RZ",0,15,,Movement,32768,32,,,,,,,,
75,00007ffc 155eb8a0,"      MOV R12, R2",0,16,,Movement,32768,32,,,,,,,,
76,00007ffc 155eb8b0,"      IADD3 R16, PT, PT, -R10, RZ, RZ",0,17,3,Integer,32768,32,,,,,,,,
77,00007ffc 155eb8c0,"      IADD3 R4, P1, P2, R20, UR14, R2",0,17,10,Integer,32768,32,,,,,,,,
78,00007ffc 155eb8d0,"      IADD3 R8, P3, P4, R24, UR12, R2",0,18,,Integer,32768,32,,,,,,,,
79,00007ffc 155eb8e0,"      IADD3.X R27, PT, PT, R6, UR15, RZ, P1, P2",0,19,1,Integer,32768,32,,,,,,,,
80,00007ffc 155eb8f0,"      IADD3.X R19, PT, PT, R9, UR13, RZ, P3, P4",0,20,1,Integer,32768,32,,,,,,,,
81,00007ffc 155eb900,"      MOV R18, R8",0,21,11,Movement,65536,32,,,,,,,,
82,00007ffc 155eb910,"      IMAD.MOV.U32 R26, RZ, RZ, R4",0,22,,Integer,65536,32,,,,,,,,
83,00007ffc 155eb920,"      LDG.E.U8.CONSTANT R30, desc[UR8][R18.64]",0,23,6,Load/Store,65536,32,Global,Load,8,,,,,
84,00007ffc 155eb930,"      LDG.E.U8.CONSTANT R31, desc[UR8][R26.64]",0,23,4,Load/Store,65536,32,Global,Load,8,,,,,
85,00007ffc 155eb940,"      SHF.R.S32.HI R28, RZ, 0x1f, R13",0,23,,Integer,65536,32,,,,,,,,
86,00007ffc 155eb950,"      IADD3 R14, P2, PT, R13, R46, RZ",0,24,1,Integer,65536,32,,,,,,,,
87,00007ffc 155eb960,"      IADD3 R10, P1, PT, R13, R22, RZ",0,25,1,Integer,65536,32,,,,,,,,
88,00007ffc 155eb970,"      IADD3.X R15, PT, PT, R28, R5, RZ, P2, !PT",0,26,1,Integer,65536,32,,,,,,,,
89,00007ffc 155eb980,"      IADD3.X R11, PT, PT, R28, R7, RZ, P1, !PT",0,27,12,Integer,65536,32,,,,,,,,
90,00007ffc 155eb990,"      LDG.E.CONSTANT R26, desc[UR8][R14.64]",0,27,4,Load/Store,65536,32,Global,Load,32,262144,,,,
91,00007ffc 155eb9a0,"      LDG.E.CONSTANT R18, desc[UR8][R10.64]",0,28,3,Load/Store,65536,32,Global,Load,32,262144,,,,
92,00007ffc 155eb9b0,"      LDG.E.CONSTANT R28, desc[UR8][R14.64+0x4]",0,29,3,Load/Store,65536,32,Global,Load,32,262144,,,,
