#,Address,Source,Scoreboard Dependencies,Live Registers,Warp Stall Sampling (All Samples),Instruction Category,Instructions Executed,Avg. Predicated-On Threads Executed,Address Space,Access Operation,Access Size,L1 Wavefronts Shared Excessive,L2 Theoretical Sectors Global Excessive,Register Dependencies,Predicate Dependencies,Uniform Register Dependencies,Uniform Predicate Dependencies
,,cutlass3x_sm100_bstensorop_s256x128x64gemm_block_scaled_ue4m3xf4_ue4m3xf4_f32_f16_f16_256x128x256_0_tnn_align32_o_vs16_2sm_bias_f16_relu
101,00007ffb 7b52db40,      UTMACCTL.PF [UR16],0,54,,Tensor Memory Access,64,1,,,,,,,,,
102,00007ffb 7b52db50,      UTMACCTL.PF [UR14],0,54,,Tensor Memory Access,64,1,,,,,,,,,
103,00007ffb 7b52db60,      NOP,0,54,,Miscellaneous,64,1,,,,,,,,,
104,00007ffb 7b52db70,      BSYNC.RECONVERGENT B0,0,54,,Control,576,28,,,,,,,,,
105,00007ffb 7b52db80,"      BSSY.RECONVERGENT B0, 0x7ffb7b52dc30",0,54,,Control,512,32,,,,,,,,,
106,00007ffb 7b52db90,@P0   BRA 0x7ffb7b52dc20,0,54,,Control,512,31,,,,,,,,,
107,00007ffb 7b52dba0,"      LDCU.64 UR10, c[0x0][0x348]",0,54,,Uniform Datapath,64,1,,,,,,,,,
108,00007ffb 7b52dbb0,"      UIADD3 UR14, UP1, UPT, UR10, 0x1040, URZ",0,54,,Uniform Datapath,64,1,,,,,,,,,
109,00007ffb 7b52dbc0,"      UIADD3 UR10, UP0, UPT, UR10, 0x1100, URZ",0,54,,Uniform Datapath,64,1,,,,,,,,,
110,00007ffb 7b52dbd0,"      UIADD3.X UR15, UPT, UPT, URZ, UR11, URZ, UP1, !UPT",0,54,,Uniform Datapath,64,1,,,,,,,,,
111,00007ffb 7b52dbe0,"      UIADD3.X UR11, UPT, UPT, URZ, UR11, URZ, UP0, !UPT",0,54,,Uniform Datapath,64,1,,,,,,,,,
112,00007ffb 7b52dbf0,      UTMACCTL.PF [UR14],0,54,,Tensor Memory Access,64,1,,,,,,,,,
113,00007ffb 7b52dc00,      UTMACCTL.PF [UR10],0,54,,Tensor Memory Access,64,1,,,,,,,,,
114,00007ffb 7b52dc10,      NOP,0,54,,Miscellaneous,64,1,,,,,,,,,
115,00007ffb 7b52dc20,      BSYNC.RECONVERGENT B0,0,54,,Control,576,28,,,,,,,,,
116,00007ffb 7b52dc30,"      SHFL.IDX PT, R8, R8, RZ, 0x1f",0,54,,Movement,512,32,,,,,,,,,
117,00007ffb 7b52dc40,"      CS2R.32 R6, SR_CgaSize",0,55,,Miscellaneous,512,32,,,,,,,,,
118,00007ffb 7b52dc50,"      IMAD R6, R6, -0xa0, RZ",0,55,,Integer,512,32,,,,,,,,,
119,00007ffb 7b52dc60,"      LDC R6, c[0x0][R6+0x2a0]",0,55,,Load/Store,512,32,,,,,,,,,
120,00007ffb 7b52dc70,"      LOP3.LUT R10, R48, 0x1f, RZ, 0xc0, !PT",0,56,,Integer,512,32,,,,,,,,,
121,00007ffb 7b52dc80,"      UMOV UR43, 0x400",0,56,,Uniform Datapath,512,32,,,,,,,,,
122,00007ffb 7b52dc90,"      LOP3.LUT P1, RZ, R48, 0x1c, RZ, 0xc0, !PT",0,56,,Integer,512,32,,,,,,,,,
123,00007ffb 7b52dca0,"      UIMAD UR17, UR7, UR4, URZ",0,56,,Uniform Datapath,512,32,,,,,,,,,
124,00007ffb 7b52dcb0,"      ISETP.GT.U32.AND P0, PT, R10, 0x6, PT",0,56,,Integer,512,32,,,,,,,,,
125,00007ffb 7b52dcc0,"      IMAD.SHL.U32 R2, R48, 0x8, RZ",0,57,,Integer,512,32,,,,,,,,,
126,00007ffb 7b52dcd0,"      ISETP.GT.U32.AND P3, PT, R10, 0x1, PT",0,57,,Integer,512,32,,,,,,,,,
127,00007ffb 7b52dce0,"      IMAD.MOV.U32 R12, RZ, RZ, 0x1",0,58,,Integer,512,32,,,,,,,,,
128,00007ffb 7b52dcf0,"      LOP3.LUT P2, RZ, R48, 0x1e, RZ, 0xc0, !PT",0,58,,Integer,512,32,,,,,,,,,
129,00007ffb 7b52dd00,"      ULEA UR43, UR20, UR43, 0x18",0,58,,Uniform Datapath,512,32,,,,,,,,,
130,00007ffb 7b52dd10,"      IMAD.MOV.U32 R0, RZ, RZ, 0xc0",0,59,,Integer,512,32,,,,,,,,,
131,00007ffb 7b52dd20,"      LOP3.LUT R7, R2, 0xf8, RZ, 0xc0, !PT",0,60,,Integer,512,32,,,,,,,,,
132,00007ffb 7b52dd30,"      IMAD.U32 R3, RZ, RZ, UR17",0,61,,Integer,512,32,,,,,,,,,
133,00007ffb 7b52dd40,"      UISETP.NE.AND UP0, UPT, UR21, 0x2, UPT",0,61,,Uniform Datapath,512,32,,,,,,,,,
134,00007ffb 7b52dd50,"      UISETP.EQ.AND UP0, UPT, UR25, URZ, !UP0",0,61,1,Uniform Datapath,512,32,,,,,,,,,
135,00007ffb 7b52dd60,"      ISETP.NE.OR P0, PT, R8, RZ, P0",0,61,,Integer,512,32,,,,,,,,,
136,00007ffb 7b52dd70,"      ISETP.NE.OR P5, PT, R8, 0x4, P3",0,61,,Integer,512,32,,,,,,,,,
137,00007ffb 7b52dd80,"      ISETP.NE.OR P1, PT, R8, 0x1, P1",0,61,,Integer,512,32,,,,,,,,,
138,00007ffb 7b52dd90,"      ISETP.NE.OR P2, PT, R8, 0x3, P2",0,61,,Integer,512,32,,,,,,,,,
139,00007ffb 7b52dda0,"      ISETP.NE.OR P4, PT, R8, 0x5, P3",0,61,,Integer,512,32,,,,,,,,,
140,00007ffb 7b52ddb0,"      ISETP.NE.OR P3, PT, R8, 0x3, P3",0,61,,Integer,512,32,,,,,,,,,
141,00007ffb 7b52ddc0,"@!P0  LEA.HI R6, R6, UR7, RZ, 0x1",0,61,1,Integer,512,,,,,,,,,,
142,00007ffb 7b52ddd0,"@!P0  IADD3 R12, PT, PT, -R12, 0x100000, RZ",0,61,,Integer,512,,,,,,,,,,
143,00007ffb 7b52dde0,"@!P0  SHF.L.U32 R13, R12, 0xb, RZ",0,61,,Integer,512,,,,,,,,,,
144,00007ffb 7b52ddf0,"@!P0  SHF.L.U32 R12, R12, 0x1, RZ",0,61,1,Integer,512,,,,,,,,,,
145,00007ffb 7b52de00,"@!P5  IMAD R0, R3, R0, 0x20",0,61,,Integer,512,,,,,,,,,,
146,00007ffb 7b52de10,"@!P0  LEA.HI.SX32 R6, R6, UR4, 0x1f",0,60,,Integer,512,,,,,,,,,,
147,00007ffb 7b52de20,"      IMAD.MOV.U32 R3, RZ, RZ, 0x80",0,61,,Integer,512,32,,,,,,,,,
148,00007ffb 7b52de30,"@!P0  STS.64 [R7+UR43], R12",0,61,,Load/Store,512,,Shared,Store,64,,,,,,
149,00007ffb 7b52de40,"@!P0  VIADD R6, R6, 0xffffffff",0,61,,Integer,512,,,,,,,,,,
150,00007ffb 7b52de50,"@!P1  IADD3 R14, PT, PT, -R3, 0x100000, RZ",0,61,,Integer,512,,,,,,,,,,
151,00007ffb 7b52de60,"@!P1  SHF.L.U32 R15, R14, 0xb, RZ",0,60,,Integer,512,,,,,,,,,,
152,00007ffb 7b52de70,"@!P1  SHF.L.U32 R14, R14, 0x1, RZ",0,60,,Integer,512,,,,,,,,,,
153,00007ffb 7b52de80,"      IMAD.MOV.U32 R3, RZ, RZ, 0x1",0,61,,Integer,512,32,,,,,,,,,
